id,t,point,freq,amp,sign
0,0.0,-0.0,16.5,1.0,-1
0,0.01,-0.16425233099048098,16.5,1.0,-1
0,0.02,-0.32404302839486837,16.5,1.0,-1
0,0.03,-0.4750316512709508,16.5,1.0,-1
0,0.04,-0.6131168519734338,16.5,1.0,-1
0,0.05,-0.7345477822465786,16.5,1.0,-1
0,0.06,-0.8360259786005205,16.5,1.0,-1
0,0.07,-0.9147949594293141,16.5,1.0,-1
0,0.08,-0.9687151001182652,16.5,1.0,-1
0,0.09,-0.9963217522863494,16.5,1.0,-1
0,0.1,-0.9968650284539189,16.5,1.0,-1
0,0.11,-0.9703301714532601,16.5,1.0,-1
0,0.12,-0.9174379552818098,16.5,1.0,-1
0,0.13,-0.8396251065095378,16.5,1.0,-1
0,0.14,-0.7390052780594708,16.5,1.0,-1
0,0.15,-0.6183116354418493,16.5,1.0,-1
0,0.16,-0.48082261498864826,16.5,1.0,-1
0,0.17,-0.33027287073901573,16.5,1.0,-1
0,0.18,-0.17075182895114577,16.5,1.0,-1
0,0.19,-0.006592605833723569,16.5,1.0,-1
0,0.2,0.15774569414324865,16.5,1.0,-1
0,0.21,0.31779910219322577,16.5,1.0,-1
0,0.22,0.46922004128872713,16.5,1.0,-1
0,0.23,0.6078954206539177,16.5,1.0,-1
0,0.24,0.7300583608392995,16.5,1.0,-1
0,0.25,0.8323905145579873,16.5,1.0,-1
0,0.26,0.9121122039130803,16.5,1.0,-1
0,0.27,0.9670579255925591,16.5,1.0,-1
0,0.28,0.9957351730622453,16.5,1.0,-1
0,0.29,0.9973649779525828,16.5,1.0,-1
0,0.3,0.9719030694018208,16.5,1.0,-1
0,0.31,0.9200410765982397,16.5,1.0,-1
0,0.32,0.8431877418564168,16.5,1.0,-1
0,0.33,0.7434306545421749,16.5,1.0,-1
0,0.34,0.6234795452786853,16.5,1.0,-1
0,0.35000000000000003,0.48659268074960393,16.5,1.0,-1
0,0.36,0.33648835845850505,16.5,1.0,-1
0,0.37,0.17724390553805702,16.5,1.0,-1
0,0.38,0.013184925133521251,16.5,1.0,-1
0,0.39,-0.1512322012069106,16.5,1.0,-1
0,0.4,-0.3115413635133787,16.5,1.0,-1
0,0.41000000000000003,-0.4633880376315407,16.5,1.0,-1
0,0.42,-0.6026475684219723,16.5,1.0,-1
0,0.43,-0.725537208961015,16.5,1.0,-1
0,0.44,-0.8287188723898353,16.5,1.0,-1
0,0.45,-0.9093898053335073,16.5,1.0,-1
0,0.46,-0.965358719901792,16.5,1.0,-1
0,0.47000000000000003,-0.9951053162760548,16.5,1.0,-1
0,0.48,-0.9978215790530743,16.5,1.0,-1
0,0.49,-0.9734337256012039,16.5,1.0,-1
0,0.5,-0.9226042102393402,16.5,1.0,-1
0,0.51,-0.8467137297986078,16.5,1.0,-1
0,0.52,-0.7478237193548898,16.5,1.0,-1
0,0.53,-0.6286203568714692,16.5,1.0,-1
